Player ID 	lname fname
alomr001	Alomar Roberto
aloms101	Alomar Sandy
aloms001	Alomar Sandy
alony001	Alonso Yonder
alouf101	Alou Felipe
alouj101	Alou Jesus
aloum101	Alou Matty
aloum001	Alou Moises
alpew101	Alpermann Whitey
alstd901	Alston Dave
alstd101	Alston Dell
alstg001	Alston Garvin
alstt101	Alston Tom
alstw101	Alston Walter
altap001	Altamirano Porfi
altee101	Alten Ernie
altej101	Altenburg Jesse
altha001	Altherr Aaron
altid101	Altizer Dave
altmg101	Altman George
altoj101	Altobelli Joe
altrn101	Altrock Nick
altuj001	Altuve Jose
alusg101	Alusik George
alval101	Alvarado Luis
alvaa001	Alvarez Abe
alvac001	Alvarez Clemente
alvad002	Alvarez Dariel
alvad001	Alvarez Dario
alvag001	Alvarez Gabe
alvah001	Alvarez Henderson
alvaj001	Alvarez Jose
alvaj003	Alvarez Jose
alvaj002	Alvarez Juan
alvao102	Alvarez Orlando
alvao101	Alvarez Ossie
alvap001	Alvarez Pedro
alvar001	Alvarez R.J.
alvar101	Alvarez Rogelio
alvat001	Alvarez Tavo
alvat002	Alvarez Tony
alvav001	Alvarez Victor
alvaw001	Alvarez Wilson
alvim101	Alvis Max
alvob101	Alvord Billy
alyeb101	Alyea Brant
amalj101	Amalfitano Joey
amarr001	Amaral Rich
amara001	Amarista Alexi
amarr101	Amaro Ruben
amarr002	Amaro Ruben
amblw101	Ambler Wayne
ambrc001	Ambres Chip
ambrh001	Ambriz Hector
amele001	Amelung Ed
amesr101	Ames Red
amess001	Ames Steve
ameza001	Amezaga Alfredo
amold101	Amole Doc
amorv101	Amor Vicente
amors101	Amoros Sandy
anckw101	Ancker Walter
andel001	Andersen Larry
andea102	Anderson Alf
andea001	Anderson Allan
andea101	Anderson Andy
andea901	Anderson Andy
robib103	Anderson Bill
andeb103	Anderson Bill
andeb102	Anderson Bob
andeb001	Anderson Brady
andeb004	Anderson Brett
andeb002	Anderson Brian
andeb003	Anderson Brian
andeb005	Anderson Bryan
andeb101	Anderson Bud
andec001	Anderson Chase
andec002	Anderson Cody
andec101	Anderson Craig
anded102	Anderson Dave
anded001	Anderson Dave
anded002	Anderson Drew
anded101	Anderson Dwain
andef102	Anderson Ferrell
andef101	Anderson Fred
andeg001	Anderson Garret
andeg102	Anderson George
andeg101	Anderson Goat
andeh102	Anderson Hal
andeh101	Anderson Harry
andej003	Anderson Jason
andej001	Anderson Jim
andej002	Anderson Jimmy
andej101	Anderson John
andej102	Anderson John
andej004	Anderson Josh
andek001	Anderson Kent
andel101	Anderson Larry
andel002	Anderson Lars
andem003	Anderson Marlon
andem002	Anderson Matt
andem101	Anderson Mike
andem001	Anderson Mike
andeo901	Anderson Ollie
ander102	Anderson Red
ander101	Anderson Rick
ander001	Anderson Rick
andes001	Anderson Scott
andes101	Anderson Sparky
andev101	Anderson Varney
andew102	Anderson Walter
andew101	Anderson Wingo
andir001	Andino Robert
andrs002	Andrade Steve
andrj102	Andre John
andre103	Andres Ernie
andrb901	Andress Bill
andrb801	Andress Brad
andrk101	Andrew Kim
andrc001	Andrews Clayton
andre101	Andrews Ed
andre102	Andrews Elbert
andrf101	Andrews Fred
andrh101	Andrews Hub
andri101	Andrews Ivy
andrj801	Andrews Jeff
andrj103	Andrews Jim
andrj101	Andrews John
andrm101	Andrews Mike
andrn101	Andrews Nate
andrr101	Andrews Rob
andrs001	Andrews Shane
andrs101	Andrews Stan
andrw102	Andrews Wally
andrm001	Andriese Matt
andrb101	Andrus Bill
andre001	Andrus Elvis
andrf102	Andrus Fred
andrw101	Andrus Wyman
anduj001	Andujar Joaquin
andul001	Andujar Luis
angen101	Angelini Norm
anglm001	Angle Matt
anglt101	Angley Tom
ankep101	Ankenman Pat
ankir001	Ankiel Rick
annad001	Anna Dean
annaw901	Annan Bill
