Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Acosta        R   3   2   2   0   0   2   0   0   0   0   0  .667  .800 1.333 i
Mack Allison       R   8   0   0   0   0   1   0   2   0   0   0  .000  .111  .000 i
Doc Ayers          R  39   8   0   0   0   5   0   2   0   0   0  .205  .295  .205 i
Jim Bagby          R  72  18   2   1   3   5   0   2   1   1   0  .250  .308  .431 i
Bill Bailey        L   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 i
Jim Baskette       R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 i
G. Baumgardner     R  33  12   3   0   1   4   0   0   0   2   0  .364  .432  .545 i
Stan Baumgartner   L  11   1   0   0   0   2   0   1   0   0   0  .091  .231  .091 
Bill Bayne         L  16   8   0   1   0   5   0   1   1   0   0  .500  .636  .625 i
Joe Benz           R  30   9   2   2   0   3   0   2   0   0   0  .300  .364  .500 i
Harry Biemiller    R   2   0   0   0   0   3   0   0   0   0   0  .000  .600  .000 
Fred Blanding      R  16   2   0   0   0   6   0   0   0   0   0  .125  .364  .125 i
Joe Boehling       L  27   4   2   0   0   5   0   5   1   1   0  .148  .303  .222 i
Dan Boone          R   7   0   0   0   0   0   0   0   1   0   0  .000  .125  .000 i
Garland Braxton    L   2   0   0   0   0   0   0   0   1   1   0  .000  .333  .000 
Rube Bressler      L  10   2   1   0   0   3   0   2   0   0   0  .200  .385  .300 i
Jim Brillheart     L   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 i
Boardwalk Brown    R   7   1   0   0   0   0   0   1   0   1   0  .143  .143  .143 i
Curly Brown        L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Dennis Burns       R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bullet Joe Bush    R  85  24   5   2   2  11   0   8   0   1   0  .282  .365  .459 i
Ray Caldwell       R  80  13   2   0   1  10   0  10   0   0   0  .163  .256  .225 i
Carl Cashion       R   6   0   0   0   0   3   0   1   0   0   0  .000  .333  .000 i
Pug Cavet          L   6   2   0   0   0   2   0   1   0   1   0  .333  .500  .333 i
Eddie Cicotte      R  90  27   3   3   1   6   0   2   0   1   0  .300  .344  .433 i
Bob Clark          R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Bert Cole          L  28   8   2   1   0   3   0   0   0   2   0  .286  .355  .429 i
Rip Collins        R  26   5   2   1   1   9   0   0   1   0   0  .192  .417  .462 i
Jack Coombs        R  11   3   1   0   0   2   0   0   0   0   0  .273  .385  .364 i
Fritz Coumbe       L  10   3   1   0   0   0   0   0   0   0   0  .300  .300  .400 i
Harry Courtney     L   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 i
Harry Coveleski    L  28   4   1   0   0   1   0   2   0   1   0  .143  .172  .179 i
Stan Coveleski     R  97  22   4   0   0  12   0   6   1   2   0  .227  .318  .268 i
Cap Crowell        R   8   0   0   0   0   2   0   0   0   0   0  .000  .200  .000 i
Nick Cullop        L   8   2   1   0   0   0   0   2   0   1   0  .250  .250  .375 i
G. Cunningham      R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 i
Dave Danforth      L  37  10   0   0   0   4   0   2   0   0   0  .270  .341  .270 i
Hooks Dauss        R 147  49   9   2   2  26   0   9   0   3   0  .333  .434  .463 i
Dave Davenport     R  22   6   2   0   0   3   0   2   1   0   0  .273  .385  .364 i
Dixie Davis        R  36   8   1   0   2   4   0   1   0   2   0  .222  .300  .417 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe DeBerry        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Jess Doyle         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 i
Jean Dubuc         R  29   6   1   1   0   3   0   1   1   2   0  .207  .303  .310 i
George Dumont      R  14   4   3   1   0   4   0   2   0   0   0  .286  .444  .643 i
