Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Albert Williams    R  18   2   0   0   0   1   0   4   0   0   0  .111  .158  .111 
Mike Willis        L   5   3   2   0   0   0   0   1   0   1   0  .600  .600 1.000 
Jim Willoughby     R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Rick Wise          R  14   3   0   0   0   1   0   0   0   0   0  .214  .267  .214 
Mike Witt          R   6   2   0   0   0   2   0   0   0   0   0  .333  .500  .333 
Wilbur Wood        L  13   3   0   0   0   0   0   0   0   1   0  .231  .231  .231 
Dick Woodson       R   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Rich Wortham       L   8   1   0   0   0   1   0   3   0   0   0  .125  .222  .125 
Jim Wright         R  10   0   0   0   0   1   0   3   0   0   0  .000  .091  .000 
Jim Wright         R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Geoff Zahn         L   8   4   1   1   0   0   0   0   0   0   0  .500  .500  .875
