Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Buskey         R  14   4   0   0   0   1   1   1   0   0   0  .286  .333  .286 
John Butcher       R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Mike Caldwell      L  13   3   0   0   0   0   0   3   0   0   0  .231  .231  .231 
Bill Campbell      R  11   2   0   0   0   2   1   2   0   0   0  .182  .308  .182 
Bobby Castillo     R  13   3   1   0   0   1   0   0   0   0   0  .231  .286  .308 
Bill Castro        R   9   3   0   0   0   2   1   1   1   2   0  .333  .500  .333 
Bill Caudill       R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
C. Chamberlain     R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Bill Champion      R  10   3   0   1   0   1   0   0   0   0   0  .300  .364  .500 
Jim Clancy         R  31   8   2   0   0   2   0   1   0   0   0  .258  .303  .323 
Bryan Clark        L   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Ken Clay           R  11   2   0   0   0   0   0   1   0   0   0  .182  .182  .182 
Reggie Cleveland   R  18   8   1   0   0   1   0   0   0   0   0  .444  .474  .500 
David Clyde        L   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Chris Codiroli     R   4   1   1   0   0   2   0   0   0   0   0  .250  .500  .500 
Jim Colborn        R  47  13   4   0   0   5   1   5   0   0   0  .277  .346  .362 
Joe Coleman        R  28   8   2   2   0   3   0   6   1   1   0  .286  .375  .500 
Steve Comer        R  13   5   2   0   0   1   0   0   0   0   0  .385  .429  .538 
Doug Corbett       R   9   2   0   0   0   2   0   1   0   0   0  .222  .364  .222 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ray Corbin         R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Jim Crawford       L   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Victor Cruz        R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Mike Cuellar       L   6   0   0   0   0   2   0   2   0   0   0  .000  .250  .000 
Bruce Dal Canton   R   6   4   1   0   0   0   0   1   0   0   0  .667  .667  .833 
Danny Darwin       R  13   4   1   0   0   3   0   2   0   0   0  .308  .438  .385 
Storm Davis        R   5   1   0   0   0   2   0   0   0   0   0  .200  .429  .200 
Ron Davis          R  16   6   1   0   0   0   0   0   0   1   0  .375  .375  .438 
