Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Hollingsworth   L  13   5   0   0   1   0   0   3   0   0   0  .385  .385  .615 
Bob Hooper         R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Art Houtteman      R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Dixie Howell       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Sid Hudson         R  13   1   0   0   0   0   0   0   0   0   0  .077  .077  .077 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fred Hutchinson    R  11   3   0   0   0   0   0   1   0   0   0  .273  .273  .273 
Don Johnson        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Alex Kellner       L  15   1   1   0   0   2   0   4   0   0   0  .067  .176  .133 
Leo Kiely          L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Ellis Kinder       R  13   4   0   0   1   2   0   3   0   1   0  .308  .400  .538 
Jack Kramer        R  11   1   0   0   0   0   0   0   0   0   0  .091  .091  .091 i
Lou Kretlow        R   2   0   0   0   0   3   0   0   0   0   0  .000  .600  .000 
Bob Kuzava         L   6   3   1   0   0   2   0   1   0   0   0  .500  .625  .667 
Bob Lemon          R  25   5   0   0   1   2   0   5   0   1   0  .200  .259  .320 
Dutch Leonard      R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Dick Littlefield   L   9   2   1   0   0   0   0   4   0   0   0  .222  .222  .333 
Phil Marchildon    R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Connie Marrero     R   4   0   0   0   0   0   0   2   0   2   0  .000  .000  .000 
Walt Masterson     R  15   5   1   0   0   1   0   1   0   0   0  .333  .375  .400 
Mickey McDermott   L   7   0   0   0   0   1   0   3   0   0   0  .000  .125  .000 
Glen Moulder       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Bob Muncrief       R   5   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 i
Hal Newhouser      L  24   5   0   1   0   4   0   6   0   1   0  .208  .321  .292 
Bobo Newsom        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Johnny Niggeling   R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Ostrowski      L   5   2   2   0   0   0   0   0   0   0   0  .400  .400  .800 
Stubby Overmire    L  12   3   0   0   0   0   0   0   0   1   0  .250  .250  .250 
Al Papai           R   4   2   0   0   1   1   0   0   0   0   0  .500  .600 1.250 
Frank Papish       L   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Mel Parnell        L  13   1   0   0   0   1   0   0   0   0   0  .077  .143  .077 
Billy Pierce       L  15   2   0   0   0   3   0   2   0   0   1  .133  .263  .133 
Marino Pieretti    R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Duane Pillette     R   8   0   0   0   0   2   1   1   0   0   0  .000  .200  .000 
Bob Porterfield    R  14   3   1   0   0   1   0   2   0   2   0  .214  .267  .286 
A. Portocarrero    R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
