Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Del Lundgren       R   6   1   0   0   0   2   0   1   0   0   0  .167  .375  .167 
Ted Lyons          R  19   6   1   0   0   2   1   0   0   0   0  .316  .381  .368 i
Danny MacFayden    R   9   2   1   0   0   0   0   2   0   0   0  .222  .222  .333 i
Firpo Marberry     R   8   1   0   0   0   1   0   0   0   1   0  .125  .222  .125 i
Carl Mays          R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 i
Johnny Miljus      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 i
George Mogridge    L  13   1   0   0   0   0   0   1   0   0   0  .077  .077  .077 i
Ed Morris          R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Rollie Naylor      R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 i
Curly Ogden        R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 i
Herb Pennock       L  32   7   2   1   0   0   0   2   0   1   0  .219  .219  .344 i
Scott Perry        R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 i
Herman Pillette    R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 i
George Pipgras     R   5   1   0   0   0   2   0   0   0   1   0  .200  .429  .200 i
Jack Quinn         R   9   1   0   0   0   0   0   1   1   0   0  .111  .200  .111 i
Gordon Rhodes      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
C. Robertson       R  11   3   0   0   0   0   0   0   0   0   0  .273  .273  .273 i
Eddie Rommel       R  18   5   0   0   0   1   0   1   0   1   0  .278  .316  .278 i
Dutch Ruether      L   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 i
Red Ruffing        R  10   3   2   0   0   0   0   3   0   0   0  .300  .300  .500 i
Jack Russell       R   9   4   0   0   0   0   0   0   0   0   0  .444  .444  .444 i
Bob Shawkey        R  11   2   1   0   0   3   0   1   0   0   0  .182  .357  .273 i
Al Shealy          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Urban Shocker      R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 i
Milt Shoffner      L   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 
Bill Shores        R   6   2   0   1   0   2   0   0   0   0   0  .333  .500  .667 i
Lefty Stewart      L  11   1   0   0   0   0   0   1   0   0   0  .091  .091  .091 i
Lil Stoner         R   7   2   1   0   0   1   0   0   0   0   0  .286  .375  .429 i
Tommy Thomas       R   9   4   1   0   0   1   0   1   0   1   0  .444  .500  .556 i
Myles Thomas       R   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 i
Sloppy Thurston    R   6   0   0   0   0   1   0   0   0   0   0  .000  .143  .000 i
Elam Vangilder     R   6   1   0   0   0   1   0   0   1   0   0  .167  .375  .167 i
Rube Walberg       L  26   5   0   0   0   3   0   6   0   0   0  .192  .276  .192 i
Ed Wells           L  19   3   0   1   0   0   0   2   0   0   0  .158  .158  .263 i
Earl Whitehill     L  10   4   0   1   0   1   1   0   0   1   0  .400  .455  .600 i
Ernie Wingard      L  14   6   1   0   0   0   0   0   1   0   0  .429  .467  .500 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rasty Wright       R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 i
Tom Zachary        L  26   3   1   0   0   1   0   1   0   0   0  .115  .148  .154 i
Paul Zahniser      R   6   1   0   0   0   0   0   0   0   1   0  .167  .167  .167 i
