Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Spud Chandler      R  23   3   1   0   0   2   0   2   0   1   0  .130  .200  .174 
Russ Christopher   R  44  12   1   2   0   2   0   5   1   0   0  .273  .319  .386 i
Bubba Church       R  18   4   1   0   0   3   0   1   0   0   0  .222  .333  .278 
Dave Cole          R   6   3   0   0   0   2   0   1   0   0   0  .500  .625  .500 
Joe Coleman        R  26   6   0   2   2   3   1   2   0   0   0  .231  .310  .615 
Bill Connelly      R   5   2   0   0   1   2   0   0   0   0   0  .400  .571 1.000 
Al Corwin          R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Vern Curtis        R   2   0   0   0   0   2   0   2   0   0   0  .000  .500  .000 
Murry Dickson      R   6   1   0   0   0   2   1   0   0   0   0  .167  .375  .167 
Bill Dietrich      R  18   6   0   0   0   0   0   1   0   0   0  .333  .333  .333 i
Joe Dobson         R  14   3   0   0   0   1   0   3   0   1   0  .214  .267  .214 
Atley Donald       R  10   5   0   0   0   2   0   2   0   0   0  .500  .583  .500 i
Fritz Dorish       R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
Karl Drews         R  29  12   5   1   0   3   0   4   0   0   0  .414  .469  .655 
Monk Dubiel        R  34   4   2   0   0   2   0   3   1   0   0  .118  .189  .176 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Zeb Eaton          R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 i
Red Embree         R  24   8   3   0   1   0   0   5   0   0   0  .333  .333  .583 
Carl Erskine       R  33   5   3   0   1   4   0   3   0   0   0  .152  .243  .333 
George Estock      R   5   4   2   0   0   1   0   0   0   0   0  .800  .833 1.200 
Cliff Fannin       R  15   3   0   0   0   5   0   1   1   0   0  .200  .429  .200 
Bob Feller         R  18   2   0   0   0   3   0   2   0   0   0  .111  .238  .111 
Stan Ferens        L   5   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Tom Ferrick        R   9   3   0   0   0   1   0   0   0   1   0  .333  .400  .333 
Dave Ferriss       R  12   3   1   0   0   0   0   0   0   0   0  .250  .250  .333 
Jesse Flores       R  43  11   2   0   1   0   0   2   0   0   0  .256  .256  .372 i
Dick Fowler        R  37  11   0   0   1   4   0   2   0   1   0  .297  .366  .378 
Howie Fox          R  27   9   2   1   0   0   0   1   0   0   0  .333  .333  .481 
Bob Friend         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Denny Galehouse    R  16   7   0   0   0   2   0   3   0   0   0  .438  .500  .438 i
Mike Garcia        R   7   3   0   0   0   0   0   2   0   0   0  .429  .429  .429 
Ned Garver         R  13   5   1   0   0   0   0   1   0   0   0  .385  .385  .462 
Charlie Gassaway   L   8   1   0   0   0   1   1   3   0   0   0  .125  .222  .125 
Rufe Gentry        R   8   3   0   0   0   3   0   1   0   0   0  .375  .545  .375 i
Al Gettel          R   8   4   1   0   1   0   0   0   0   1   0  .500  .500 1.000 
Bob Gillespie      R   6   4   1   0   0   1   0   0   0   0   0  .667  .714  .833 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ruben Gomez        R   8   1   0   0   0   2   1   2   0   0   0  .125  .300  .125 
Johnny Gorsica     R  14   4   0   1   1   0   0   2   0   1   0  .286  .286  .643 i
Ted Gray           L   8   2   1   0   0   1   0   3   0   0   0  .250  .333  .375 
Hal Gregg          R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Gromek       R  33  10   2   1   0   1   0   4   0   0   0  .303  .324  .424 i
Orval Grove        R  22   7   2   1   1   1   0   3   0   1   0  .318  .348  .636 i
Randy Gumpert      R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Warren Hacker      R  13   6   1   1   0   0   0   0   0   0   0  .462  .462  .692 
Harvey Haddix      L   5   2   1   0   0   0   0   2   0   0   0  .400  .400  .600 
Mickey Haefner     L  27   5   0   1   0   2   0   4   1   1   0  .185  .267  .259 i
Luke Hamlin        R   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 i
Andy Hansen        R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Mel Harder         R  32   6   1   0   0   0   0   2   0   0   0  .188  .188  .219 i
Lum Harris         R  17   3   0   1   0   0   0   2   0   0   0  .176  .176  .294 
Mickey Harris      L  11   2   0   0   0   2   0   1   0   0   0  .182  .308  .182 
Earl Harrist       R   6   3   1   0   0   0   0   2   0   0   0  .500  .500  .667 
Joe Haynes         R  30   5   1   0   0   1   1   2   0   1   0  .167  .194  .200 i
Jim Hearn          R  45  10   2   0   1   0   0   2   0   0   0  .222  .222  .333 
Earl Henry         L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Johnny Hetki       R   8   3   1   0   0   0   0   0   0   0   1  .375  .333  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Frank Hiller       R  15   3   0   0   1   0   0   1   0   0   0  .200  .200  .400 
Lloyd Hittle       L  10   3   1   0   0   1   0   1   0   0   0  .300  .364  .400 
Wally Holborow     R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Al Hollingsworth   L   9   1   1   0   0   0   0   2   0   0   0  .111  .111  .222 i
Art Houtteman      R  14   3   1   0   0   0   0   0   0   0   0  .214  .214  .286 
Sid Hudson         R  32  10   2   0   0   1   0   1   0   0   0  .313  .333  .375 
Jim Hughes         R   8   3   1   0   0   2   0   1   0   0   0  .375  .500  .500 
Tex Hughson        R  10   3   0   0   1   0   0   0   0   0   0  .300  .300  .600 
Johnny Humphries   R  25   5   2   0   0   0   0   0   0   0   0  .200  .200  .280 i
Fred Hutchinson    R  27   7   2   0   1   3   0   5   0   0   0  .259  .333  .444 
Sig Jakucki        R  20   7   1   1   0   5   0   1   0   0   0  .350  .480  .500 i
Larry Jansen       R  25   7   1   0   0   0   0   0   0   2   0  .280  .280  .320 
Virgil Jester      R  11   3   1   0   0   1   0   0   0   0   0  .273  .333  .364 
Earl Johnson       L   4   0   0   0   0   3   0   0   0   0   0  .000  .429  .000 
Ernie Johnson      R   6   1   0   0   0   0   0   2   1   0   0  .167  .286  .167 
Gordon Jones       R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Sheldon Jones      R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Alex Kellner       L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bob Kelly          R  15   4   1   0   0   0   0   2   0   0   0  .267  .267  .333 
Vern Kennedy       R   6   1   0   0   1   0   0   2   0   0   0  .167  .167  .667 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ellis Kinder       R  41  10   3   0   1   4   0   7   0   0   0  .244  .311  .390 
Clyde King         R  15   3   1   0   0   0   0   1   0   0   0  .200  .200  .267 
Ed Klieman         R  14   7   0   0   0   2   0   0   0   0   0  .500  .563  .500 i
J. Klippstein      R  25   7   1   0   0   4   0   2   1   0   1  .280  .387  .320 
Lou Knerr          R  12   4   1   2   0   1   0   2   0   0   0  .333  .385  .750 
Jim Konstanty      R  16   6   0   0   1   0   0   0   0   1   0  .375  .375  .563 
Dave Koslo         L   8   1   0   0   0   0   0   0   1   0   0  .125  .222  .125 
Jack Kramer        R  42  10   1   2   1   3   0   6   0   1   0  .238  .289  .429 i
Clem Labine        R   7   1   0   0   0   0   0   2   0   1   0  .143  .143  .143 
Joe Landrum        R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Brooks Lawrence    R   4   3   0   0   0   1   0   0   0   0   0  .750  .800  .750 
Thornton Lee       L  18   2   0   0   0   0   0   3   1   1   0  .111  .158  .111 i
Bob Lemon          R  12   2   0   0   2   2   0   0   0   0   0  .167  .286  .667 
Dutch Leonard      R  21   4   1   0   0   4   1   5   0   0   0  .190  .320  .238 i
Johnny Lindell     R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Billy Loes         R  24   7   1   0   0   2   0   2   0   0   0  .292  .346  .333 
Eddie Lopat        L  13   1   0   0   0   1   0   2   0   0   0  .077  .143  .077 i
Turk Lown          R  10   4   1   0   0   1   0   2   0   0   0  .400  .455  .500 
Al Lyons           R   3   2   1   0   0   1   0   0   0   0   0  .667  .750 1.000 i
Sal Maglie         R  38   7   3   0   0   2   1   6   0   0   0  .184  .225  .263 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Phil Marchildon    R  23   3   0   0   0   0   0   3   0   0   0  .130  .130  .130 
Cuddles Marshall   R   5   1   0   0   0   0   0   0   1   0   0  .200  .333  .200 
Walt Masterson     R  15   3   0   1   0   1   0   2   0   0   0  .200  .250  .333 
Bill McCahan       R  11   5   0   0   0   2   0   0   0   0   0  .455  .538  .455 
Mickey McDermott   L   4   0   0   0   0   4   0   0   0   0   0  .000  .500  .000 
Jim Mertz          R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 i
Russ Meyer         R  28   7   2   0   0   0   0   5   0   0   0  .250  .250  .321 
Ox Miller          R  11   3   0   0   0   0   0   0   0   0   0  .273  .273  .273 
Bob Miller         R   5   3   0   0   0   1   0   0   0   0   0  .600  .667  .600 
Stu Miller         R   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Bob Milliken       R   4   1   0   1   0   0   0   1   0   0   0  .250  .250  .750 
Paul Minner        L   9   2   0   0   0   0   0   0   0   0   0  .222  .222  .222 
Les Mueller        R   7   3   1   0   0   4   1   0   0   0   0  .429  .636  .571 
Bob Muncrief       R  27   5   1   0   0   3   0   4   0   0   0  .185  .267  .222 i
Red Munger         R  10   2   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Johnny Murphy      R   9   2   1   0   0   1   0   0   0   0   0  .222  .300  .333 i
Don Newcombe       R  17   4   2   0   0   3   0   1   0   0   0  .235  .350  .353 
Hal Newhouser      L  37  11   3   0   0   2   0   4   0   0   0  .297  .333  .378 i
Bobo Newsom        R  55  17   3   2   2   2   0   8   0   0   0  .309  .333  .545 i
Johnny Niggeling   R  32  12   2   0   0   4   0   4   0   0   0  .375  .444  .438 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
