Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Nate Andrews       R   4   3   0   1   0   0   0   0   0   0   0  .750  .750 1.250 i
Vance Page         R  12   1   0   0   0   0   0   0   0   0   0  .083  .083  .083 i
Roy Parmelee       R  15   6   0   0   0   3   0   1   2   0   0  .400  .550  .400 i
Claude Passeau     R  72  25   5   2   0   4   0   1   0   2   0  .347  .382  .472 i
Ike Pearson        R   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 i
Howie Pollet       L   5   1   0   0   0   0   0   1   0   1   0  .200  .200  .200 
Tot Pressnell      R  24   3   2   0   0   3   1   0   0   0   0  .125  .222  .208 i
K. Raffensberger   L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Bobby Reis         R   8   1   0   0   1   3   0   0   0   1   0  .125  .364  .500 i
Elmer Riddle       R  10   3   0   0   0   0   0   1   0   0   0  .300  .300  .300 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Johnny Rigney      R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Charlie Root       R  29   7   0   0   0   1   0   3   0   0   0  .241  .267  .241 i
Buck Ross          R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Mike Ryba          R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 i
Manny Salvo        R   7   2   0   0   2   1   0   0   0   1   0  .286  .375 1.143 
Johnny Schmitz     L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Gene Schott        R  20   7   3   1   0   4   0   1   1   1   0  .350  .480  .600 
Hal Schumacher     R  20   8   0   0   0   1   0   1   1   0   0  .400  .455  .400 i
Rip Sewell         R   6   1   0   0   0   2   0   0   0   1   0  .167  .375  .167 i
Milt Shoffner      L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 i
Clyde Shoun        L  22   5   0   0   0   0   0   2   0   1   0  .227  .227  .227 i
Pete Sivess        R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 i
Al Smith           L  21   6   2   0   0   1   0   2   0   1   0  .286  .318  .381 i
Eddie Smith        L  19   7   0   0   0   1   0   1   0   1   0  .368  .400  .368 
Bob Smith          R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Lee Stine          R   8   2   0   0   0   1   0   0   0   0   0  .250  .333  .250 
Steve Sundra       R  11   2   0   0   0   0   0   0   0   0   0  .182  .182  .182 
Tom Sunkel         L   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 i
Bill Swift         R  33  14   0   0   0   3   0   1   0   2   0  .424  .472  .424 i
Oad Swigart        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Vito Tamulis       L  17   4   1   0   0   0   0   1   0   0   0  .235  .235  .294 i
