Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L   4   2   2   0   0   1   0   0   0   0   0  .500  .600 1.000 
Ted Abernathy      R   4   3   0   0   0   1   0   0   0   0   0  .750  .800  .750 
Tom Acker          R  10   2   0   0   1   0   0   1   0   0   1  .200  .182  .500 
Luis Aloma         R  12   1   0   0   0   2   0   0   0   0   0  .083  .214  .083 
Elden Auker        R  15   4   0   0   0   0   0   0   0   0   0  .267  .267  .267 i
Jim Bagby          R  26  10   1   1   1   2   0   0   0   0   0  .385  .429  .615 i
Curt Barclay       R   6   1   0   1   0   3   0   0   0   0   0  .167  .444  .500 
Gene Bearden       L  36  11   0   2   0  11   0   1   0   2   0  .306  .468  .417 
Al Benton          R  38  15   1   1   0  10   2   1   0   1   0  .395  .521  .474 i
Don Bessent        R   5   3   2   0   0   1   0   0   0   0   0  .600  .667 1.000 
Bill Bevens        R  19   3   1   0   0   5   0   0   0   1   0  .158  .333  .211 
Frank Biscan       L   1   0   0   0   0   2   0   0   1   0   0  .000  .750  .000 i
Don Black          R  12   1   0   0   0   2   1   3   0   0   0  .083  .214  .083 
Mike Blyzka        R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Tiny Bonham        R  19   3   0   0   0   1   0   0   0   0   0  .158  .200  .158 
Hank Borowy        R  20   5   2   0   0   3   0   0   1   0   0  .250  .375  .350 i
Marv Breuer        R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Tom Brewer         R  17   7   0   0   0   1   0   1   0   0   1  .412  .421  .412 
Tommy Bridges      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 i
Lou Brissie        L   4   0   0   0   0   5   0   1   1   0   0  .000  .600  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Brosnan        R   5   1   0   0   0   3   0   2   0   0   0  .200  .500  .200 
Hal Brown          R  12   5   1   0   0   2   0   0   1   0   0  .417  .533  .500 
Mace Brown         R   6   2   0   0   0   2   0   2   0   0   0  .333  .500  .333 i
Jack Bruner        L   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Bob Buhl           R  14   5   1   0   0   5   0   0   1   0   0  .357  .550  .429 
Jim Bunning        R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Lew Burdette       R  12   2   0   0   0   1   0   0   0   0   0  .167  .231  .167 
Bill Butland       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Harry Byrd         R  14   6   2   0   0   3   0   0   0   0   0  .429  .529  .571 
Tommy Byrne        L  24   5   1   0   0  13   0   3   2   1   0  .208  .513  .250 
Bob Cain           L   6   1   1   0   0   4   0   0   0   0   0  .167  .500  .333 
Earl Caldwell      R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Paul Calvert       R   8   1   0   0   0   2   0   0   0   0   0  .125  .300  .125 
Milo Candini       R  10   1   0   0   0   1   0   1   0   0   0  .100  .182  .100 i
Don Cardwell       R   4   1   1   0   0   0   0   1   0   0   1  .250  .200  .500 
Alex Carrasquel    R  14   4   2   0   0   0   0   0   0   0   0  .286  .286  .429 i
Bob Chakales       R   7   1   0   0   0   2   0   1   0   0   0  .143  .333  .143 
Spud Chandler      R  43   7   2   0   0   2   0   3   0   0   0  .163  .200  .209 
Tex Clevenger      R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Joe Coleman        R   6   1   0   0   0   2   0   0   0   0   1  .167  .333  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gene Conley        R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Sandy Consuegra    R  32  12   3   2   0   2   0   2   0   0   1  .375  .400  .594 
Roger Craig        R  14   4   1   0   0   0   0   0   0   0   0  .286  .286  .357 
Ray Crone          R  16   6   0   0   2   2   1   1   0   0   0  .375  .444  .750 
Chubby Dean        L   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Ike Delock         R   5   2   1   0   0   3   0   0   0   0   0  .400  .625  .600 
Murry Dickson      R  12   1   1   0   0   0   0   1   0   0   0  .083  .083  .167 
Bill Dietrich      R   9   2   0   0   0   2   0   0   0   0   0  .222  .364  .222 
Sonny Dixon        R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Joe Dobson         R  73  21   4   0   0  11   1   4   0   2   0  .288  .381  .342 i
Atley Donald       R  11   3   1   0   2   0   0   0   0   0   0  .273  .273  .909 i
Dick Donovan       R  10   3   0   1   0   1   0   0   0   0   0  .300  .364  .500 
Fritz Dorish       R  23   3   1   1   0   4   0   0   1   1   0  .130  .286  .261 
Karl Drews         R  11   4   0   0   0   4   0   0   0   0   0  .364  .533  .364 
Dick Drott         R   7   2   0   0   0   4   0   0   0   0   0  .286  .545  .286 
Don Drysdale       R   8   2   0   0   0   1   0   0   0   0   0  .250  .333  .250 
Don Elston         R   4   2   1   0   0   1   0   1   0   0   0  .500  .600  .750 
Red Embree         R  22  12   2   0   0   4   0   1   0   0   0  .545  .615  .636 i
Carl Erskine       R   4   0   0   0   0   3   0   0   0   0   0  .000  .429  .000 
Chuck Estrada      R   6   2   0   0   0   2   0   1   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Roy Face           R  12   4   1   0   1   3   1   2   0   0   0  .333  .467  .667 
Cliff Fannin       R  48  10   2   0   0  11   1   3   0   2   0  .208  .356  .250 
Turk Farrell       R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Bob Feller         R  91  23   1   2   1  20   3  11   2   1   0  .253  .398  .341 
Stan Ferens        L   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 i
Tom Ferrick        R  29   9   2   0   1   4   0   2   0   1   0  .310  .394  .483 
Dave Ferriss       R  36  13   2   1   0   8   0   0   0   0   0  .361  .477  .472 
Tommy Fine         R   5   1   0   1   0   2   0   0   0   0   0  .200  .429  .600 
Bill Fleming       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Jesse Flores       R   4   2   0   0   0   2   0   0   0   0   0  .500  .667  .500 
Whitey Ford        L   7   2   1   0   0   1   1   1   0   1   0  .286  .375  .429 
Mike Fornieles     R   5   3   0   0   1   1   0   1   0   0   0  .600  .667 1.200 
Art Fowler         R  12   2   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Howie Fox          R   2   0   0   0   0   2   0   0   0   1   0  .000  .500  .000 
Paul Foytack       R   6   2   0   0   0   1   0   0   0   0   1  .333  .375  .333 
Hersh Freeman      R   9   2   0   1   0   0   0   0   0   0   0  .222  .222  .444 
Bob Friend         R  13   1   0   0   0   1   0   1   0   1   0  .077  .143  .077 
Denny Galehouse    R  34  14   0   0   0   6   0   1   0   0   0  .412  .500  .412 i
Mike Garcia        R  78  27   2   0   1   9   1   2   0   1   0  .346  .414  .410 
Ned Garver         R  69  23   2   0   0  16   0   6   0   0   0  .333  .459  .362 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Pete Gebrian       R   3   2   0   0   0   3   0   0   0   1   0  .667  .833  .667 
Al Gerheauser      L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Al Gettel          R  16   5   0   0   0   1   0   3   0   0   0  .313  .353  .313 
Bob Gillespie      R  15   7   1   0   0   3   0   0   0   0   0  .467  .556  .533 
Ruben Gomez        R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Lefty Gomez        L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Julio Gonzalez     R   4   1   1   0   0   3   0   0   0   0   0  .250  .571  .500 
Johnny Gorsica     R   8   3   0   1   0   0   0   1   0   0   0  .375  .375  .625 i
Mudcat Grant       R   6   1   0   0   0   0   0   0   1   0   0  .167  .286  .167 
Ted Gray           L  28   9   1   0   1   4   0   4   0   1   0  .321  .406  .464 
Bob Grim           R  11   1   0   0   0   3   0   1   0   0   0  .091  .286  .091 
Marv Grissom       R  10   5   0   1   0   2   0   0   0   0   0  .500  .583  .700 
Steve Gromek       R  53  15   3   2   2   7   1   2   1   1   2  .283  .365  .528 
Orval Grove        R  37   8   0   1   0   4   0   1   0   2   0  .216  .293  .270 
Randy Gumpert      R  67  17   3   2   2   5   0   2   0   2   0  .254  .306  .448 
Warren Hacker      R  16   5   1   0   2   4   3   2   0   0   0  .313  .450  .750 
Mickey Haefner     L  31  10   1   2   0   7   0   2   2   1   0  .323  .475  .484 i
Dick Hall          R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500 
Ralph Hamner       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Mel Harder         R  21   7   0   1   0   6   0   1   0   0   0  .333  .481  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mickey Harris      L  24   5   0   0   0   3   0   4   0   1   0  .208  .296  .208 
Earl Harrist       R  17   6   2   0   0   7   0   1   0   0   0  .353  .542  .471 
Joe Haynes         R  35  11   3   1   0   8   0   1   0   1   0  .314  .442  .457 i
Jim Hearn          R   9   4   1   0   0   0   0   2   0   0   0  .444  .444  .556 
Bill Henry         L   6   1   1   0   0   1   0   0   0   0   0  .167  .286  .333 
Ray Herbert        R  10   4   1   1   0   0   0   1   0   0   0  .400  .400  .700 
Tom Herrin         R   3   0   0   0   0   1   1   0   0   0   0  .000  .250  .000 
Joe Heving         R  12   5   0   0   0   3   0   0   0   0   0  .417  .533  .417 i
Frank Hiller       R   4   3   1   0   0   2   0   0   0   0   0  .750  .833 1.000 
Lloyd Hittle       L   9   1   0   0   0   0   0   0   0   0   0  .111  .111  .111 
Billy Hoeft        L   8   1   0   0   0   3   0   0   0   0   0  .125  .364  .125 
Ken Holcombe       R   5   2   0   0   0   2   1   0   0   0   0  .400  .571  .400 
Al Hollingsworth   L   6   3   0   0   0   0   0   0   1   0   0  .500  .571  .500 i
Art Houtteman      R  72  23   3   1   4   8   0   6   0   1   0  .319  .388  .556 
Sid Hudson         R  67  23   1   2   1   9   3   1   3   0   0  .343  .443  .463 i
Tex Hughson        R  37  11   1   0   0   5   0   3   0   0   0  .297  .381  .324 i
Johnny Humphries   R  14   4   0   0   0   2   0   1   0   0   0  .286  .375  .286 i
Tom Hurd           R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Fred Hutchinson    R  63  22   4   1   1   7   0   0   0   0   0  .349  .414  .492 
