Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose DeLeon        R   7   0   0   0   0   2   0   2   1   0   0  .000  .300  .000 
Jim Deshaies       L   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Rob Dibble         R   5   1   1   0   0   1   0   2   0   0   0  .200  .333  .400 
Kelly Downs        R   6   2   0   0   0   2   1   0   0   0   0  .333  .500  .333 
Doug Drabek        R   9   3   0   0   1   1   0   1   1   0   0  .333  .455  .667 
Jeff Fassero       L   7   3   0   0   1   0   0   1   0   0   0  .429  .429  .857 
Sid Fernandez      L   6   1   0   0   0   2   0   2   0   0   0  .167  .375  .167 
John Franco        L   3   1   0   0   0   1   0   2   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Marvin Freeman     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mark Gardner       R   9   5   0   0   0   2   0   2   1   0   0  .556  .667  .556 
Scott Garrelts     R   4   2   1   0   0   2   0   0   0   0   0  .500  .667  .750 
Dwight Gooden      R  14   3   0   0   1   1   0   2   0   0   0  .214  .267  .429 
Jim Gott           R   6   0   0   0   0   1   0   3   0   0   0  .000  .143  .000 
Tommy Greene       R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Kevin Gross        R  12   2   1   0   0   2   1   4   0   0   0  .167  .286  .250 
Kip Gross          R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Chris Hammond      L   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Pete Harnisch      R  20   7   4   0   1   0   0   1   0   0   0  .350  .350  .700 
Greg Harris        R  10   2   0   0   0   1   0   1   0   1   0  .200  .273  .200 
Mike Hartley       R   3   0   0   0   0   3   1   1   0   0   0  .000  .500  .000 
Neal Heaton        L  10   3   0   0   1   0   0   2   0   0   0  .300  .300  .600 
Butch Henry        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Xavier Hernandez   R  10   1   0   0   0   0   0   2   0   0   0  .100  .100  .100 
Orel Hershiser     R  14   3   2   0   0   2   0   4   0   0   0  .214  .313  .357 
Greg Hibbard       L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bryan Hickerson    L   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
Ken Hill           R  14   2   1   0   1   1   0   1   0   1   1  .143  .188  .429 
Milt Hill          R   6   2   1   0   0   0   0   1   0   1   0  .333  .333  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Eric Hillman       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bruce Hurst        L  25   7   0   0   0   1   0   5   0   0   0  .280  .308  .280 
Jeff Innis         R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Danny Jackson      L  14   4   1   0   1   2   0   0   0   0   1  .286  .353  .571 
Doug Jones         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Jimmy Jones        R   7   2   0   0   0   1   0   0   0   0   0  .286  .375  .286 
Jeff Juden         R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Darryl Kile        R   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Bob Kipper         L   4   2   1   0   1   0   0   0   0   0   0  .500  .500 1.500 
Les Lancaster      R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bill Landrum       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Tim Layana         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Craig Lefferts     L  10   3   0   0   0   0   0   0   0   0   1  .300  .273  .300 
Derek Lilliquist   L   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Mike Maddux        R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Joe Magrane        L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dennis Martinez    R  15   3   0   0   0   4   0   3   0   0   0  .200  .368  .200 
Pedro Martinez     R   1   0   0   0   0   3   0   0   0   0   0  .000  .750  .000 
Ramon Martinez     R  17   5   2   0   0   2   0   2   0   0   0  .294  .368  .412 
Roger Mason        R   5   0   0   0   0   0   0   1   1   0   0  .000  .167  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Roger McDowell     R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
