Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bobby Hogue        R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Johnny Hutchings   R   8   2   0   0   0   0   0   0   0   1   0  .250  .250  .250 i
Hooks Iott         L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Larry Jansen       R  39  16   1   1   0   1   0   0   0   0   0  .410  .425  .487 
Al Javery          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Ken Johnson        L   8   1   1   0   0   0   0   0   0   1   0  .125  .125  .250 
Si Johnson         R  24  10   2   1   0   2   0   0   0   0   0  .417  .462  .583 
Sheldon Jones      R  28   8   0   1   0   1   1   0   0   1   0  .286  .310  .357 
Oscar Judd         L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Andy Karl          R  12   1   0   0   0   0   0   0   0   3   0  .083  .083  .083 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Vern Kennedy       R   5   1   1   0   0   0   0   0   1   0   0  .200  .333  .400 
Monty Kennedy      L  26   6   0   1   0   1   0   2   0   2   0  .231  .259  .308 
Clyde King         R  19   4   0   0   0   0   0   0   0   0   0  .211  .211  .211 
Jim Konstanty      R   9   3   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Dave Koslo         L  38   7   0   0   0   0   0   0   0   0   0  .184  .184  .184 
Jack Kraus         L   9   5   1   0   0   0   0   0   0   0   0  .556  .556  .667 
Emil Kush          R  22   6   1   0   0   0   0   0   0   1   0  .273  .273  .318 
Doyle Lade         R  10   3   0   0   0   0   0   0   0   1   0  .300  .300  .300 
Clayton Lambert    R   6   1   1   0   0   1   0   0   0   0   0  .167  .286  .333 
Walt Lanfranconi   R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Max Lanier         L   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Johnny Lanning     R  11   1   1   0   0   0   0   0   0   0   0  .091  .091  .182 
Bill Lee           R  26   6   0   0   0   1   1   0   0   1   0  .231  .259  .231 
Izzy Leon          R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Hod Lisenbee       R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Buddy Lively       R  12   6   1   0   0   0   0   0   0   0   0  .500  .500  .583 
Bob Logan          L  20   4   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Vic Lombardi       L  43  12   1   1   0   1   0   0   0   2   0  .279  .295  .349 
Al Lyons           R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Sal Maglie         R   5   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Malloy         R  13   4   0   0   0   1   0   0   0   0   0  .308  .357  .308 
Fred Martin        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Dale Matthewson    R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 i
Cal McLish         R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Russ Meers         L   3   0   0   0   0   1   1   0   0   0   0  .000  .250  .000 
Rube Melton        R  20   7   0   0   0   2   1   0   0   0   0  .350  .409  .350 
Russ Meyer         R  13   2   0   0   0   2   0   1   0   1   0  .154  .267  .154 
Ox Miller          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Paul Minner        L   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Rene Monteagudo    L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Bob Muncrief       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Red Munger         R  20   3   0   0   0   0   0   0   0   0   0  .150  .150  .150 
Van Mungo          R   7   1   0   0   0   0   0   1   0   1   0  .143  .143  .143 
Don Newcombe       R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Johnny Niggeling   R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
F. Ostermueller    L  25   4   0   1   0   3   2   2   0   1   0  .160  .250  .240 
Erv Palica         R  12   4   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Claude Passeau     R  25   7   0   1   0   2   0   1   0   0   0  .280  .333  .360 i
Kent Peterson      L  13   9   1   0   0   0   0   0   0   2   0  .692  .692  .769 
Lee Pfund          R   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ray Poat           R   7   0   0   0   0   1   0   0   0   0   0  .000  .125  .000 
Howie Pollet       L  26   8   0   0   0   1   0   0   0   0   0  .308  .333  .308 
Nels Potter        R   5   2   0   0   0   0   0   2   0   0   0  .400  .400  .400 
Ray Prim           L  13   5   1   0   0   1   1   1   0   0   0  .385  .429  .462 
Ewald Pyle         L  12   5   0   0   0   1   0   0   0   0   0  .417  .462  .417 i
Mel Queen          R   9   1   0   1   0   1   0   1   0   0   0  .111  .200  .333 
K. Raffensberger   L  42   8   0   0   0   0   0   2   0   1   0  .190  .190  .190 i
Willie Ramsdell    R   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Xavier Rescigno    R   7   4   2   0   0   0   0   0   0   1   0  .571  .571  .857 i
Elmer Riddle       R  17   6   3   2   0   0   0   1   0   0   0  .353  .353  .765 
Robin Roberts      R   5   0   0   0   0   0   0   0   0   2   0  .000  .000  .000 
Preacher Roe       L  39   8   2   0   0   1   1   0   0   0   0  .205  .225  .256 i
Schoolboy Rowe     R   2   0   0   0   0   0   0   0   0   2   0  .000  .000  .000 
Johnny Sain        R  52  14   3   0   0   3   0   1   1   2   0  .269  .321  .327 
Hal Schacker       R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Charley Schanz     R  23   4   0   0   0   1   0   0   0   0   0  .174  .208  .174 
Johnny Schmitz     L  17   5   1   0   0   1   1   1   0   0   0  .294  .333  .353 
Hal Schumacher     R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Tom Seats          L  13   2   0   1   0   0   0   0   0   0   0  .154  .154  .308 
Frank Seward       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rip Sewell         R  76  21   4   0   0   4   2   1   2   2   0  .276  .329  .329 i
Clyde Shoun        L  17   5   0   0   0   0   0   0   0   0   0  .294  .294  .294 
Curt Simmons       L   7   2   1   0   0   1   0   2   0   0   0  .286  .375  .429 
Elmer Singleton    R  13   4   0   0   0   0   0   1   0   0   0  .308  .308  .308 
Warren Spahn       L  27   4   0   0   0   0   0   0   0   0   0  .148  .148  .148 
Charlie Sproull    R  17   4   1   0   0   1   0   0   0   2   0  .235  .278  .294 
Gerry Staley       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Mack Stewart       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Nick Strincevich   R  32   7   1   0   0   2   1   2   0   3   0  .219  .265  .250 i
Harry Taylor       R   8   4   0   0   0   0   0   0   1   0   0  .500  .556  .500 
Junior Thompson    R   2   0   0   0   0   0   0   0   0   2   0  .000  .000  .000 
Jim Tobin          R  24   6   2   0   0   0   0   2   0   0   0  .250  .250  .333 i
Ken Trinkle        R  13   4   0   0   0   0   0   0   0   0   0  .308  .308  .308 
J. Vander Meer     L  40  11   1   0   1   1   0   1   0   1   0  .275  .293  .375 
Bill Voiselle      R  53  20   3   1   0   1   1   1   0   2   0  .377  .389  .472 i
Bucky Walters      R  34   7   0   0   0   3   0   0   0   3   0  .206  .270  .206 
Tommy Warren       L   9   0   0   0   0   1   1   0   0   0   0  .000  .100  .000 
Red Webb           R   4   2   0   0   0   0   0   0   0   1   0  .500  .500  .500 
Les Webber         R  13   4   0   0   0   0   0   0   0   0   0  .308  .308  .308 
Herm Wehmeier      R  15   5   1   0   0   0   0   0   0   0   0  .333  .333  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Wilks          R  20   9   0   0   0   1   1   0   0   0   0  .450  .476  .450 
Ed Wright          R  17   5   0   0   0   0   0   0   0   1   0  .294  .294  .294 
Whit Wyatt         R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Hank Wyse          R  42  12   0   2   0   0   0   0   0   1   0  .286  .286  .381 i
Adrian Zabala      L   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000
