Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Benny Frey         R   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 i
Milt Gaston        R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 i
Sam Gray           R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 i
Burleigh Grimes    R   8   4   1   0   0   0   0   2   0   0   0  .500  .500  .625 
Lefty Grove        L   8   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 i
Jesse Haines       R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 i
Bill Hallahan      L   6   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Bill Harris        R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Slim Harriss       R  15   2   0   1   1   0   0   4   0   0   0  .133  .133  .467 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fred Heimach       L   7   2   0   1   0   0   0   2   0   1   0  .286  .286  .571 i
Waite Hoyt         R  12   1   0   0   0   2   0   3   0   0   0  .083  .214  .083 i
Carl Hubbell       L   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 i
Si Johnson         R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 i
Syl Johnson        R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 i
Sad Sam Jones      R   9   3   0   0   0   1   0   4   0   0   0  .333  .400  .333 i
Ray Kolp           R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Ray Kremer         R  12   2   0   0   1   0   0   1   0   0   0  .167  .167  .417 i
Dutch Levsen       R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 i
Red Lucas          R  16   7   2   0   0   2   0   1   0   0   0  .438  .500  .563 
Ted Lyons          R  10   1   0   0   0   0   0   4   0   0   0  .100  .100  .100 i
Pat Malone         R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Heinie Meine       R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jake Miller        L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 i
Ed Morris          R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 i
Guy Morton         R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 i
Van Mungo          R  12   0   0   0   0   0   0   8   0   0   0  .000  .000  .000 
Red Oldham         L   4   2   0   1   0   0   0   2   0   0   0  .500  .500 1.000 i
Roy Parmelee       R   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 i
Herb Pennock       L  16   2   0   1   0   2   0   7   0   0   0  .125  .222  .250 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Scott Perry        R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Ray Phelps         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Bill Piercy        R   3   0   0   0   0   0   0   2   0   2   0  .000  .000  .000 
Jack Quinn         R  11   3   0   0   0   0   0   3   0   1   0  .273  .273  .273 i
Flint Rhem         R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
C. Robertson       R   5   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 i
Red Ruffing        R   6   0   0   0   0   1   0   3   0   2   0  .000  .143  .000 i
Hal Schumacher     R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 i
Joe Shaute         L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 i
Bob Shawkey        R   7   4   0   0   0   0   0   3   0   0   0  .571  .571  .571 i
Urban Shocker      R  14   5   1   2   0   1   0   2   0   0   0  .357  .400  .714 i
Ernie Shore        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Lil Stoner         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 i
Allyn Stout        R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bill Swift         R  10   0   0   0   0   1   0   5   0   0   0  .000  .091  .000 
Tommy Thomas       R   7   0   0   0   0   0   0   4   0   1   0  .000  .000  .000 
Sloppy Thurston    R  18   7   1   0   0   1   0   0   0   0   0  .389  .421  .444 i
George Uhle        R  17   7   0   0   0   1   0   5   0   1   0  .412  .444  .412 i
Elam Vangilder     R   6   2   0   0   0   1   0   3   0   1   0  .333  .429  .333 i
Bill Walker        L   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Weaver         R   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 
Ed Wells           L   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Earl Whitehill     L  15   1   0   1   0   0   0   3   0   1   0  .067  .067  .200 i
Lefty Williams     L   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000
