Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Babe Adams         R   4   2   0   1   0   0   0   2   0   0   0  .500  .500 1.000 i
Red Ames           R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 i
Rube Benton        L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Buster Brown       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 i
Mordecai Brown     R  10   2   1   0   0   0   0   0   0   0   0  .200  .200  .300 i
Howie Camnitz      R   5   3   0   0   0   1   0   0   0   0   0  .600  .667  .600 i
George Chalmers    R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 i
Larry Cheney       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
King Cole          R   7   1   0   0   0   0   0   1   0   1   0  .143  .143  .143 i
Cliff Curtis       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Art Fromme         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Claude Hendrix     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Chief Johnson      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Ed Lafitte         R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 i
Lefty Leifield     L   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 i
Rube Marshall      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 i
C. Mathewson       R   8   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 i
Bert Maxwell       R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 i
Earl Moore         R   6   1   0   0   0   2   0   1   0   0   0  .167  .375  .167 i
Earl Moseley       R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Prendergast   R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Ed Reulbach        R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 i
Lew Richie         R   5   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 i
Slim Sallee        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Toots Shultz       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bill Steele        R   8   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 i
George Suggs       R   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 i
