Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ed Klepfer         R   4   3   0   2   0   1   0   0   0   0   0  .750  .800 1.750 
Dutch Leonard      L  15   1   1   0   0   0   0   4   0   0   0  .067  .067  .133 i
Duster Mails       L   8   1   0   0   0   0   0   0   0   1   0  .125  .125  .125 i
Carl Mays          R  42   9   1   0   0   2   0   3   0   3   0  .214  .250  .238 i
Willie Mitchell    L   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 i
George Mogridge    L  19   4   1   0   0   0   0   3   0   0   0  .211  .211  .263 i
Roy Moore          L   6   3   0   1   0   1   0   0   0   0   0  .500  .571  .833 i
Guy Morton         R  15   7   3   0   0   0   0   1   0   1   0  .467  .467  .667 i
Elmer Myers        R  28   7   1   2   0   1   0   3   1   3   0  .250  .300  .429 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Rollie Naylor      R  18   8   0   0   0   1   0   2   0   0   0  .444  .474  .444 i
Win Noyes          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Red Oldham         L  12   3   0   0   0   0   0   1   1   1   0  .250  .308  .250 i
Herb Pennock       L   9   4   3   0   0   0   0   1   0   0   0  .444  .444  .778 i
Scott Perry        R  27   5   1   1   0   0   0   0   0   1   0  .185  .185  .296 i
Bill Piercy        R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 i
Jack Quinn         R  18   8   1   0   0   0   0   0   0   0   0  .444  .444  .500 i
Eppa Rixey         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
C. Robertson       R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Eddie Rommel       R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Allen Russell      R  18   3   0   0   0   1   0   1   0   2   0  .167  .211  .167 i
Reb Russell        L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 i
John Russell       L   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 
Babe Ruth          L  11   2   0   0   0   1   0   3   0   0   0  .182  .250  .182 i
Rube Schauer       R   8   2   1   0   0   0   0   0   0   0   0  .250  .250  .375 i
Ferdie Schupp      L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Socks Seibold      R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Jim Shaw           R  24   5   0   1   0   1   0   0   0   2   0  .208  .240  .292 i
Bob Shawkey        R  26   8   2   2   0   0   0   4   0   1   0  .308  .308  .538 i
Urban Shocker      R  12   2   0   0   1   0   0   1   0   0   0  .167  .167  .417 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ernie Shore        R   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 i
Allen Sothoron     R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Hank Thormahlen    L   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 i
George Uhle        R  13   5   3   0   0   0   0   1   0   0   0  .385  .385  .615 i
Lefty Williams     L  26   4   3   0   0   1   0   4   0   0   0  .154  .185  .269 i
Earl Yingling      L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Tom Zachary        L   8   2   1   0   0   0   0   0   0   0   0  .250  .250  .375 i
