Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Hollingsworth   L  42   8   3   0   0   2   0   1   0   1   0  .190  .227  .262 i
Waite Hoyt         R  12   2   0   0   0   3   0   1   0   0   0  .167  .333  .167 i
Carl Hubbell       L 101  34   1   1   2   7   0   4   1   1   0  .337  .385  .426 i
Ira Hutchinson     R  14   3   0   0   1   3   0   1   0   0   0  .214  .353  .429 i
John Jackson       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Al Javery          R   6   3   0   0   0   0   0   1   0   0   0  .500  .500  .500 i
Si Johnson         R  44  16   0   0   0   1   0   1   0   0   0  .364  .378  .364 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Syl Johnson        R  27   9   1   0   1   0   0   0   0   1   0  .333  .333  .481 i
Orville Jorgens    R  13   3   0   0   0   0   0   0   0   0   0  .231  .231  .231 i
Oscar Judd         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Hal Kelleher       R   8   3   0   0   0   3   0   1   0   0   0  .375  .545  .375 i
Newt Kimball       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Hal Kleine         L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Bob Klinger        R  36   7   0   1   0   1   0   4   0   1   0  .194  .216  .250 i
Ray Kolp           R  10   5   1   1   0   1   0   1   0   1   0  .500  .545  .800 
Fabian Kowalik     R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 i
Jack Kraus         L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Ray Kremer         R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Wayne LaMaster     L  18   5   1   0   3   2   0   0   0   0   0  .278  .350  .833 i
Max Lanier         L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Johnny Lanning     R  36   7   1   0   0   1   0   0   0   0   0  .194  .216  .222 i
Bill Lee           R  15   7   0   0   0   4   0   0   0   1   0  .467  .579  .467 i
Bill LeFebvre      L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Dutch Leonard      R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 
Gene Lillard       R   3   0   0   0   0   3   1   0   0   0   0  .000  .500  .000 
Ad Liska           R   7   2   0   0   0   1   0   1   0   0   0  .286  .375  .286 i
Bill Lohrman       R  11   1   1   0   0   0   0   0   0   1   0  .091  .091  .182 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Red Lucas          R  40   9   2   1   1   1   0   0   1   0   0  .225  .262  .400 i
Danny MacFayden    R  51  16   1   0   1   0   0   5   1   2   0  .314  .327  .392 i
Max Macon          L   7   3   0   1   0   3   0   0   1   0   0  .429  .636  .714 i
Bill McGee         R  31  13   2   1   0   2   0   3   0   1   0  .419  .455  .548 i
Heinie Meine       R  11   1   0   0   0   0   0   0   0   0   0  .091  .091  .091 
Cliff Melton       L  33  11   1   0   1   5   0   1   0   0   0  .333  .421  .455 i
Euel Moore         R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 i
Whitey Moore       R  22   4   0   0   0   1   0   5   0   0   0  .182  .217  .182 
Cy Moore           R  10   2   1   0   0   0   0   1   0   0   0  .200  .200  .300 
Hugh Mulcahy       R  30   5   0   1   0   5   0   1   0   2   0  .167  .286  .233 i
Van Mungo          R  61  15   1   0   1  10   0  11   0   0   0  .246  .352  .311 i
Les Munns          R   7   2   0   0   0   0   0   0   1   0   0  .286  .375  .286 
Sam Nahem          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Emmett Nelson      R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Vern Olsen         L  24   5   1   1   0   1   0   2   0   0   0  .208  .240  .333 i
Joe Page           L   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Vance Page         R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 i
Roy Parmelee       R  30  10   2   0   0   2   0   0   0   1   0  .333  .375  .400 i
Claude Passeau     R  91  19   1   1   0   4   0   7   0   0   0  .209  .242  .242 i
Ike Pearson        R   8   3   0   0   0   1   0   0   0   0   0  .375  .444  .375 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Johnny Podgajny    R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Howie Pollet       L   8   1   1   0   0   0   0   0   0   0   0  .125  .125  .250 
Bill Posedel       R  18   6   0   0   0   3   0   0   0   0   0  .333  .429  .333 i
Tot Pressnell      R   9   3   0   0   0   0   0   1   0   1   0  .333  .333  .333 i
Bobby Reis         R  12   3   0   0   0   1   0   0   0   0   0  .250  .308  .250 
Flint Rhem         R  12   3   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Elmer Riddle       R   4   2   0   1   0   0   0   1   0   1   0  .500  .500 1.000 
Charlie Root       R  11   4   0   0   0   1   1   3   0   1   0  .364  .417  .364 i
Rosy Ryan          R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Mike Ryba          R  11   5   2   0   0   0   0   0   0   0   0  .455  .455  .636 i
Manny Salvo        R   7   2   0   0   0   0   0   0   0   1   0  .286  .286  .286 
Gene Schott        R  53  11   3   1   0   3   0   3   0   1   0  .208  .250  .302 
Hal Schumacher     R  45  13   2   0   0   4   0   5   0   2   0  .289  .347  .333 i
Rip Sewell         R  32   8   1   0   0   2   0   3   0   0   0  .250  .294  .281 i
Milt Shoffner      L  19   8   1   0   1   1   0   1   0   1   0  .421  .450  .632 i
Clyde Shoun        L  14   6   0   0   0   0   0   0   0   0   0  .429  .429  .429 i
Pete Sivess        R  12   3   0   0   1   1   0   1   0   1   0  .250  .308  .500 i
Al Smith           L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 i
Hal Smith          R  16   3   0   1   1   0   0   1   0   0   0  .188  .188  .500 
Bob Smith          R  32   5   0   0   0   1   0   4   0   1   0  .156  .182  .156 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Glenn Spencer      R   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 
Ray Starr          R   9   2   0   0   0   0   0   0   0   0   0  .222  .222  .222 i
