Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Babe Adams         R   3   2   1   1   0   0   0   1   0   1   0  .667  .667 1.667 i
Pete Alexander     R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Red Ames           R   9   2   1   0   0   0   0   0   0   0   0  .222  .222  .333 
Jesse Barnes       R  12   6   0   0   0   2   0   0   0   0   0  .500  .571  .500 i
Leon Cadore        R  13   1   0   0   0   0   0   2   0   0   0  .077  .077  .077 i
Red Causey         R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 i
Al Demaree         R   9   2   0   0   0   1   0   1   0   0   0  .222  .300  .222 i
Bill Doak          R   9   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Dana Fillingim     R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 i
Ray Fisher         R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 i
Burleigh Grimes    R  12   2   1   0   0   3   0   0   1   0   0  .167  .375  .250 
Claude Hendrix     R  10   2   0   0   0   0   0   0   0   0   0  .200  .200  .200 i
Al Mamaux          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
C. Mathewson       R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Hugh McQuillan     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Frank Miller       R   7   1   0   0   0   2   0   1   0   0   0  .143  .333  .143 i
Joe Oeschger       R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Jeff Pfeffer       R  14   3   1   0   0   1   0   0   0   0   0  .214  .267  .286 i
Jimmy Ring         R   7   2   0   1   0   2   0   1   0   0   0  .286  .444  .571 i
Jack Scott         R   9   1   0   1   0   0   0   1   0   1   0  .111  .111  .333 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fred Toney         R   6   2   1   0   0   0   0   0   0   0   0  .333  .333  .500
