Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Hollingsworth   L  24  11   1   0   1   2   0   2   1   0   0  .458  .519  .625 i
Art Houtteman      R  23   7   0   0   1   3   0   0   0   1   0  .304  .385  .435 
Sid Hudson         R  18   5   0   0   1   2   0   1   1   1   0  .278  .381  .444 
Tex Hughson        R  69  21   5   1   2   5   0   2   0   2   0  .304  .351  .493 i
Johnny Humphries   R  20   6   2   0   0   4   0   2   0   0   0  .300  .417  .400 i
Fred Hutchinson    R  41  16   4   1   3   6   1   4   0   0   0  .390  .468  .756 i
Sig Jakucki        R   7   1   1   0   0   3   0   0   0   0   0  .143  .400  .286 i
Don Johnson        R   8   2   1   0   0   3   0   0   0   0   0  .250  .455  .375 
Earl Johnson       L  24   4   1   0   0   3   0   4   0   0   0  .167  .259  .208 
Oscar Judd         L  22   8   0   0   0   1   0   0   0   0   0  .364  .391  .364 i
Howie Judson       R   8   4   0   1   0   2   0   1   0   1   0  .500  .600  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Alex Kellner       L   9   3   1   0   0   1   0   1   0   0   0  .333  .400  .444 
Vern Kennedy       R  25   4   1   0   0   0   0   1   0   0   0  .160  .160  .200 i
Bill Kennedy       L   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Ellis Kinder       R  20   2   0   0   0   0   0   0   0   1   0  .100  .100  .100 
Ed Klieman         R  22   1   0   0   0   4   1   0   0   2   0  .045  .192  .045 i
Bob Klinger        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Lou Knerr          R   8   5   4   0   0   0   0   0   0   0   0  .625  .625 1.125 
Jack Knott         R   9   2   0   0   1   0   0   0   0   0   0  .222  .222  .556 i
Joe Krakauskas     L   7   3   0   0   1   1   0   0   0   0   0  .429  .500  .857 i
Jack Kramer        R  40  12   4   0   0   4   0   2   0   0   0  .300  .364  .400 i
Lou Kretlow        R   4   2   0   0   1   2   0   0   0   0   0  .500  .667 1.250 
Bert Kuczynski     R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 i
Bob Kuzava         L   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Thornton Lee       L  25   7   2   0   0   2   0   2   0   1   0  .280  .333  .360 i
Bob Lemon          R  31  10   1   0   1   8   0   4   0   0   0  .323  .462  .452 
Johnny Lindell     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Eddie Lopat        L  58  16   4   0   0   3   0   5   0   0   0  .276  .311  .345 i
Sam Lowry          R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Ted Lyons          R  20   5   0   1   0   0   0   1   0   0   0  .250  .250  .350 
Phil Marchildon    R  59   9   1   2   2   8   0   4   1   2   0  .153  .265  .339 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Cuddles Marshall   R   5   1   0   0   0   2   0   0   0   0   0  .200  .429  .200 
Walt Masterson     R  12   3   1   0   1   5   0   1   0   0   0  .250  .471  .583 
Bill McCahan       R  13   3   1   0   0   6   0   0   0   0   0  .231  .474  .308 
Al Milnar          L  18   4   1   2   0   3   0   2   1   2   0  .222  .364  .500 i
Glen Moulder       R  10   2   0   0   0   1   0   1   0   0   0  .200  .273  .200 
Bob Muncrief       R  37  12   4   0   3   1   0   4   0   0   0  .324  .342  .676 i
Johnny Murphy      R  13   4   0   1   0   1   0   0   0   0   0  .308  .357  .462 i
Hal Newhouser      L  60  16   4   0   1   4   0   8   0   1   0  .267  .313  .383 i
Bobo Newsom        R  26  10   0   0   4   5   0   0   0   0   0  .385  .484  .846 i
Dick Newsome       R  13   5   1   0   1   1   0   0   0   0   0  .385  .429  .692 i
Johnny Niggeling   R  16   4   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Emmett O'Neill     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
F. Ostermueller    L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Stubby Overmire    L  49  16   7   0   2   3   0   3   0   0   0  .327  .365  .592 i
Joe Page           L  26   5   1   0   1   4   0   3   0   0   0  .192  .300  .346 i
Satchel Paige      R   7   1   0   0   0   1   0   0   0   0   0  .143  .250  .143 
Frank Papish       L  30   5   0   0   0   2   0   3   0   0   0  .167  .219  .167 
Mel Parnell        L  21   4   1   0   0   3   0   2   0   0   0  .190  .292  .238 
Billy Pierce       L   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Marino Pieretti    R   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Nels Potter        R  11   6   1   1   0   5   2   1   0   0   0  .545  .688  .818 i
