Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Harry Shriver      R  13   2   1   0   0   1   0   2   0   0   0  .154  .214  .231 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Sherry Smith       L   8   5   0   0   1   0   0   0   0   0   0  .625  .625 1.000 i
Allen Sothoron     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
George Stueland    R  11   5   1   0   0   1   0   2   0   0   0  .455  .500  .545 i
Fred Toney         R  16   1   0   0   0   2   0   2   0   0   0  .063  .167  .063 
Dazzy Vance        R  10   2   0   0   0   4   1   3   0   0   0  .200  .429  .200 i
Hippo Vaughn       L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Roy Walker         R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 i
Mule Watson        R  27   6   1   0   0   1   0   4   0   0   0  .222  .250  .259 i
Emil Yde           L   8   2   0   0   0   0   0   0   0   1   0  .250  .250  .250 i
Lefty York         L   6   1   1   0   0   1   0   1   0   0   0  .167  .286  .333 i
Jimmy Zinn         R  13   3   2   0   0   0   0   2   0   0   0  .231  .231  .385
