Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Anderson       R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Johnny Antonelli   L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Don Drysdale       R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Carl Erskine       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Don Gross          L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Harvey Haddix      L   3   0   0   0   0   0   0   3   0   2   0  .000  .000  .000 
Ron Kline          R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Stu Miller         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
V. Mizell          L   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Bob Purkey         R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Robin Roberts      R   7   2   2   0   0   1   0   3   0   0   0  .286  .375  .571
