Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Woody Abernathy    L   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Ed Albosta         R   3   1   0   0   0   2   0   1   0   0   0  .333  .600  .333 
Nate Andrews       R   9   2   0   0   1   0   0   1   1   0   0  .222  .300  .556 
Johnny Antonelli   L  19   4   0   0   0   1   0   8   0   0   0  .211  .250  .211 
Bill Ayers         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Fred Baczewski     L   5   3   0   0   1   0   0   0   0   0   0  .600  .600 1.200 
Jim Bagby          R   7   2   1   0   0   1   0   1   0   0   0  .286  .375  .429 
Ed Bahr            R  26   9   1   0   1   3   1   0   0   0   0  .346  .414  .500 
Dan Bankhead       R   6   1   0   0   0   3   0   0   0   0   0  .167  .444  .167 
Rex Barney         R  22   4   1   0   0   3   0   7   0   0   0  .182  .280  .227 
Red Barrett        R  37   8   4   0   0   7   0   2   0   3   0  .216  .341  .324 i
Frank Barrett      R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Russ Bauers        R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Johnny Beazley     R  13   3   0   0   0   1   0   1   1   1   0  .231  .333  .231 
Joe Beggs          R  18   2   1   0   0   1   0   4   0   2   0  .111  .158  .167 
Hank Behrman       R  17   1   0   0   0   1   0   1   0   1   0  .059  .111  .059 
Vern Bickford      R  57  13   3   0   0  14   1   4   1   0   0  .228  .389  .281 
Hi Bithorn         R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 i
Joe Black          R   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
Ewell Blackwell    R  39  12   1   0   0   6   0   5   0   1   0  .308  .400  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tiny Bonham        R  21   4   1   1   0   6   2   2   0   0   0  .190  .370  .333 
Hank Borowy        R  48  16   7   0   2   7   1   2   0   0   0  .333  .418  .604 
Roger Bowman       L   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Cloyd Boyer        R  14   6   0   0   0   4   0   2   0   0   0  .429  .556  .429 
Ralph Branca       R  54  16   2   0   2   7   1   6   0   0   0  .296  .377  .444 
Al Brazle          L  70  21   0   1   0   6   0   7   0   0   0  .300  .355  .329 
Harry Brecheen     L  57  14   3   0   1   1   0   9   0   0   0  .246  .259  .351 
Mike Budnick       R   6   2   0   0   2   2   1   1   0   0   0  .333  .500 1.333 
Bob Buhl           R  10   2   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Lew Burdette       R  30   5   0   0   0   1   1   2   0   1   0  .167  .194  .167 
Ken Burkhart       R  15   8   2   1   1   1   0   0   1   0   0  .533  .588 1.000 
Bob Carpenter      R  11   6   1   1   1   1   0   1   0   0   0  .545  .583 1.091 
Hugh Casey         R  10   5   0   0   0   1   1   0   0   0   0  .500  .545  .500 
Cliff Chambers     L  43   9   1   0   1   0   0   3   1   0   0  .209  .227  .302 
Bob Chesnes        R  19   6   2   1   1   7   0   0   0   0   0  .316  .500  .684 
Bob Chipman        L  31   9   3   1   0   4   0   4   1   0   0  .290  .389  .452 
Bubba Church       R  33   7   3   0   0   4   0   1   0   0   0  .212  .297  .303 
Dave Cole          R   6   1   0   0   0   3   1   0   0   0   0  .167  .444  .167 
Jackie Collum      L   7   0   0   0   0   0   0   2   1   0   0  .000  .125  .000 
Gene Conley        R   6   2   1   1   0   2   0   0   0   0   0  .333  .500  .833 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mort Cooper        R  20   3   0   0   0   2   0   1   0   0   0  .150  .227  .150 i
Al Corwin          R   8   0   0   0   0   2   0   1   0   0   0  .000  .200  .000 
Paul Derringer     R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Murry Dickson      R 112  31   5   2   2  11   0   7   0   1   0  .277  .341  .411 i
Jess Dobernic      R   8   1   1   0   0   0   0   1   0   0   0  .125  .125  .250 
Blix Donnelly      R  11   3   1   0   0   3   0   1   0   0   0  .273  .429  .364 
Dick Donovan       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Karl Drews         R   5   0   0   0   0   0   0   1   0   0   1  .000  .000  .000 
Monk Dubiel        R  21   4   1   0   0   1   0   1   0   0   0  .190  .227  .238 
Glenn Elliott      L  14   1   0   0   0   1   0   2   0   0   0  .071  .133  .071 
Eddie Erautt       R  11   6   0   0   0   2   1   1   0   0   0  .545  .615  .545 
Paul Erickson      R   9   2   1   0   1   3   0   2   0   0   0  .222  .417  .667 i
Carl Erskine       R  36  11   1   0   0   4   2   3   0   1   0  .306  .375  .333 
Roy Face           R  12   3   0   0   2   1   0   0   0   0   0  .250  .308  .750 
Rube Fischer       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Art Fowler         R   9   1   0   0   0   2   0   0   0   0   0  .111  .273  .111 
Bob Friend         R  39  18   0   3   0   5   0   2   0   1   0  .462  .523  .615 
Ken Gables         R   5   0   0   0   0   2   0   1   0   0   0  .000  .286  .000 
Ruben Gomez        R  18   4   0   0   0   1   0   6   0   0   0  .222  .263  .222 
Hal Gregg          R  32   4   1   0   0   2   0   4   0   0   0  .125  .176  .156 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
