Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Johnny Babich      R   4   2   0   1   0   1   0   2   0   0   0  .500  .600 1.000 
Russ Bauers        R   5   0   0   0   0   1   0   2   0   0   0  .000  .167  .000 
Ray Benge          R   9   2   0   0   0   0   0   1   0   0   0  .222  .222  .222 i
Huck Betts         R  12   2   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Cy Blanton         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 i
Ed Brandt          L   8   3   1   0   0   0   0   0   0   0   0  .375  .375  .500 
Ben Cantwell       R  17   3   0   0   0   1   0   6   0   0   0  .176  .222  .176 
Tex Carleton       R  10   2   1   0   0   0   0   1   0   0   0  .200  .200  .300 
Bob Carpenter      R   4   1   0   0   0   0   0   2   0   1   0  .250  .250  .250 i
Watty Clark        L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Mort Cooper        R   9   1   0   0   0   0   0   4   0   0   0  .111  .111  .111 i
Bruce Cunningham   R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Peaches Davis      R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Dizzy Dean         R  11   0   0   0   0   1   0   9   0   0   0  .000  .083  .000 i
Paul Derringer     R   6   2   1   0   0   1   0   1   0   1   0  .333  .429  .500 
Clise Dudley       R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
F. Fitzsimmons     R  10   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Fred Frankhouse    R  13   0   0   0   0   0   0   4   0   2   0  .000  .000  .000 
Larry French       L  10   3   0   0   0   1   0   2   0   1   0  .300  .364  .300 i
Burleigh Grimes    R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Harry Gumbert      R  12   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 i
Jesse Haines       R   6   1   0   0   0   1   0   2   0   0   0  .167  .286  .167 
Bill Hallahan      L  10   1   0   0   0   1   0   5   0   2   0  .100  .182  .100 
Snipe Hansen       L  13   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Johnny Hetki       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Kirby Higbe        R   6   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Waite Hoyt         R   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Carl Hubbell       L   9   1   0   0   0   0   0   4   0   0   0  .111  .111  .111 i
Syl Johnson        R   8   0   0   0   0   0   0   5   0   0   0  .000  .000  .000 
Andy Karl          R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Ray Kremer         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bill Lee           R  10   0   0   0   0   0   0   6   0   0   0  .000  .000  .000 i
Hank Leiber        R   2   1   0   0   0   0   0   1   0   2   0  .500  .500  .500 
Jim Lindsey        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Pat Malone         R   6   1   0   0   0   0   0   2   0   0   0  .167  .167  .167 
Leo Mangum         R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Cy Moore           R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Hugh Mulcahy       R   3   0   0   0   0   1   0   2   0   2   0  .000  .250  .000 i
Van Mungo          R   7   1   0   0   0   1   0   2   0   0   0  .143  .250  .143 
Claude Passeau     R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ray Phelps         R   5   0   0   0   0   1   0   1   0   1   0  .000  .167  .000 
Flint Rhem         R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Elmer Riddle       R   8   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Charlie Root       R  12   1   0   0   0   1   0   4   0   0   0  .083  .154  .083 i
Manny Salvo        R   4   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Hal Schumacher     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 i
Socks Seibold      R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Rip Sewell         R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Hal Smith          R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bob Smith          R  14   1   0   0   0   0   0   0   0   0   0  .071  .071  .071 
Ray Starr          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Swetonic     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bill Swift         R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Junior Thompson    R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Sloppy Thurston    R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Bud Tinning        R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jim Tobin          R  15   3   0   0   0   0   0   3   0   1   0  .200  .200  .200 
Jim Turner         R  13   3   0   0   0   0   0   5   0   0   0  .231  .231  .231 
Dazzy Vance        R  11   1   0   0   0   1   0   7   0   0   0  .091  .167  .091 
Lon Warneke        R  16   1   0   0   0   0   0   4   0   0   0  .063  .063  .063 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Zachary        L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286
