Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Orie Arntzen       R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 i
Jim Bagby          R  41  12   0   2   0   0   0   0   0   1   0  .293  .293  .390 i
Tom Baker          R   5   3   1   1   1   0   0   0   0   0   0  .600  .600 1.800 
Russ Bauers        R  22   4   0   0   0   3   0   5   0   0   0  .182  .280  .182 i
Boom-Boom Beck     R   9   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 i
Al Benton          R  26   8   2   0   0   2   0   2   0   0   0  .308  .357  .385 i
Joe Berry          R   7   2   0   0   0   0   0   0   0   1   0  .286  .286  .286 i
Herman Besse       L   4   2   1   0   0   0   0   1   0   1   0  .500  .500  .750 i
Bill Bevens        R  18   2   0   0   0   3   0   2   0   0   0  .111  .238  .111 
Don Black          R  17   4   0   0   1   6   0   1   0   0   0  .235  .435  .412 i
Cy Blanton         R  19   5   2   0   0   1   0   3   1   0   0  .263  .333  .368 i
Tiny Bonham        R  38   3   0   0   0   2   0   2   0   0   0  .079  .125  .079 
Hank Borowy        R  38  11   1   2   0   1   0   1   0   1   0  .289  .308  .421 i
Joe Bowman         R  12   5   0   2   1   1   0   1   0   0   0  .417  .462 1.000 i
Marv Breuer        R  11   3   1   0   0   0   0   1   0   0   0  .273  .273  .364 i
Tommy Bridges      R   9   3   1   0   0   1   0   0   0   0   0  .333  .400  .444 i
Mace Brown         R  31   9   1   0   0   1   0   5   0   1   0  .290  .313  .323 i
Clay Bryant        R  15   4   0   1   0   2   0   3   0   0   0  .267  .353  .400 i
Max Butcher        R  23   9   1   0   2   1   0   1   0   0   0  .391  .417  .696 i
Bill Butland       R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Earl Caldwell      R   8   2   0   0   0   0   0   1   1   0   0  .250  .333  .250 
Milo Candini       R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 i
Tex Carleton       R   9   2   2   0   0   2   0   4   0   0   0  .222  .364  .444 i
Alex Carrasquel    R  25   5   0   0   0   2   0   1   0   2   0  .200  .259  .200 i
Joe Cascarella     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Hugh Casey         R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 i
Slick Castleman    R  21   4   1   0   0   3   0   1   0   0   0  .190  .292  .238 i
Spud Chandler      R  27   7   1   0   0   2   0   2   0   0   0  .259  .310  .296 i
Russ Christopher   R  23   8   2   0   1   5   0   3   0   0   0  .348  .464  .565 i
Otey Clark         L   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Dick Coffman       R   7   3   0   0   0   1   0   0   0   0   0  .429  .500  .429 i
Bill Crouch        R   4   2   2   0   0   0   0   0   0   0   0  .500  .500 1.000 
Peaches Davis      R  37  13   3   1   1   0   0   4   0   0   0  .351  .351  .568 
Chubby Dean        L  11   4   0   1   0   1   0   0   0   0   0  .364  .417  .545 i
Dizzy Dean         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Paul Derringer     R  43   9   5   0   0   1   0   6   0   1   0  .209  .227  .326 
Bill Dietrich      R  23   5   0   0   0   0   0   2   0   0   0  .217  .217  .217 i
Joe Dobson         R  10   3   1   1   0   1   0   0   0   0   0  .300  .364  .600 i
Atley Donald       R  34   8   1   0   1   2   0   1   0   0   0  .235  .278  .353 i
Monk Dubiel        R  20   2   1   0   0   1   0   1   0   0   0  .100  .143  .150 
