Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
George Bechtel     U   5   4   1   0   0   0   0   0   0   0   0  .800  .800 1.000 i
Tommy Bond         R  24   9   0   0   0   0   0   0   0   0   0  .375  .375  .375 i
Asa Brainard       R  10   4   0   0   0   0   0   0   0   0   0  .400  .400  .400 i
Jim Britt          U  14   4   1   0   0   0   0   0   0   0   0  .286  .286  .357 
Candy Cummings     R  48  13   1   0   0   0   0   3   0   0   0  .271  .271  .292 i
Martin Malone      U   7   4   0   0   0   0   0   0   0   0   0  .571  .571  .571 
Jack Manning       R   8   4   1   0   0   1   0   0   0   0   0  .500  .556  .625 i
Bobby Mathews      R  44   6   0   0   0   0   0   1   0   0   0  .136  .136  .136 i
Dick McBride       R  32   6   1   0   0   0   0   0   0   0   0  .188  .188  .219 i
Al Spalding        R  48  18   1   0   0   0   0   3   0   0   0  .375  .375  .396 i
George Zettlein    R  31   6   1   0   0   0   0   0   0   0   0  .194  .194  .226 i
